"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"01.03.2020","1,530","1,597","1,669","1,506","89,07M","-2,86%"
"23.02.2020","1,575","1,798","1,808","1,555","105,67M","-14,91%"
"16.02.2020","1,851","1,851","1,901","1,839","40,91M","0,00%"
"09.02.2020","1,851","1,820","1,863","1,809","44,64M","1,31%"
"02.02.2020","1,827","1,800","1,849","1,792","56,23M","1,39%"
"26.01.2020","1,802","1,796","1,855","1,784","61,91M","-0,11%"
"19.01.2020","1,804","1,780","1,815","1,753","46,22M","1,18%"
"12.01.2020","1,783","1,722","1,783","1,704","46,34M","3,54%"
"05.01.2020","1,722","1,660","1,722","1,637","43,61M","3,55%"
"29.12.2019","1,663","1,698","1,698","1,645","17,84M","-2,06%"
"22.12.2019","1,698","1,690","1,704","1,675","14,22M","-0,29%"
"15.12.2019","1,703","1,643","1,704","1,637","63,15M","4,10%"
"08.12.2019","1,636","1,632","1,662","1,610","62,12M","-0,06%"
"01.12.2019","1,637","1,708","1,715","1,613","58,18M","-4,16%"
"24.11.2019","1,708","1,717","1,737","1,701","44,27M","-0,29%"
"17.11.2019","1,713","1,768","1,770","1,713","50,54M","-3,11%"
"10.11.2019","1,768","1,800","1,812","1,747","62,88M","-2,00%"
"03.11.2019","1,804","1,804","1,815","1,762","66,44M","0,11%"
"27.10.2019","1,802","1,687","1,819","1,670","70,14M","6,94%"
"20.10.2019","1,685","1,679","1,704","1,663","29,91M","0,60%"
"13.10.2019","1,675","1,694","1,703","1,655","38,22M","-1,35%"
"06.10.2019","1,698","1,688","1,701","1,660","36,72M","0,53%"
"29.09.2019","1,689","1,665","1,699","1,653","48,34M","1,32%"
"22.09.2019","1,667","1,627","1,690","1,610","56,34M","2,84%"
"15.09.2019","1,621","1,617","1,629","1,593","60,85M","-0,25%"
"08.09.2019","1,625","1,647","1,651","1,598","41,49M","-1,34%"
"01.09.2019","1,647","1,595","1,653","1,590","38,02M","3,00%"
"25.08.2019","1,599","1,562","1,619","1,548","29,80M","2,30%"
"18.08.2019","1,563","1,569","1,597","1,563","27,63M","-0,26%"
"11.08.2019","1,567","1,554","1,581","1,536","31,77M","0,97%"
"04.08.2019","1,552","1,599","1,623","1,552","41,35M","-3,36%"
"28.07.2019","1,606","1,609","1,616","1,558","46,13M","-0,06%"
"21.07.2019","1,607","1,603","1,648","1,591","49,82M","0,75%"
"14.07.2019","1,595","1,611","1,649","1,593","47,67M","-0,81%"
"07.07.2019","1,608","1,570","1,625","1,559","50,66M","2,10%"
"30.06.2019","1,575","1,542","1,607","1,522","53,44M","3,21%"
"23.06.2019","1,526","1,574","1,583","1,507","36,22M","-3,05%"
"16.06.2019","1,574","1,504","1,574","1,501","70,97M","4,72%"
"09.06.2019","1,503","1,505","1,522","1,494","31,31M","-0,20%"
"02.06.2019","1,506","1,455","1,519","1,448","45,05M","3,15%"
"26.05.2019","1,460","1,500","1,518","1,425","39,99M","-2,93%"
"19.05.2019","1,504","1,488","1,513","1,457","56,18M","-2,97%"
"12.05.2019","1,550","1,452","1,558","1,442","86,31M","7,12%"
"05.05.2019","1,447","1,452","1,470","1,425","54,62M","-1,16%"
"28.04.2019","1,464","1,485","1,499","1,456","41,08M","-1,41%"
"21.04.2019","1,485","1,488","1,490","1,468","33,90M","0,07%"
"14.04.2019","1,484","1,499","1,530","1,477","54,23M","-0,67%"
"07.04.2019","1,494","1,544","1,549","1,488","77,32M","-3,18%"
"31.03.2019","1,543","1,636","1,655","1,543","81,48M","-5,16%"
"24.03.2019","1,627","1,606","1,639","1,599","38,44M","1,18%"
"17.03.2019","1,608","1,590","1,623","1,590","29,22M","1,07%"
"10.03.2019","1,591","1,613","1,619","1,581","34,30M","-1,12%"
"03.03.2019","1,609","1,570","1,613","1,554","38,40M","2,94%"
"24.02.2019","1,563","1,592","1,601","1,550","40,25M","-1,45%"
"17.02.2019","1,586","1,579","1,603","1,570","28,50M","0,32%"
"10.02.2019","1,581","1,530","1,588","1,528","33,36M","3,60%"
"03.02.2019","1,526","1,552","1,581","1,524","35,87M","-1,68%"
"27.01.2019","1,552","1,532","1,594","1,531","38,70M","0,26%"
"20.01.2019","1,548","1,582","1,589","1,533","33,31M","-2,58%"
"13.01.2019","1,589","1,581","1,592","1,552","43,29M","-0,25%"
"06.01.2019","1,593","1,631","1,657","1,565","66,91M","-2,33%"
"30.12.2018","1,631","1,573","1,643","1,563","24,36M","3,69%"
"23.12.2018","1,573","1,601","1,601","1,550","9,49M","-1,75%"
"16.12.2018","1,601","1,614","1,633","1,589","46,11M","-1,11%"
"09.12.2018","1,619","1,484","1,623","1,484","54,97M","8,08%"
"02.12.2018","1,498","1,504","1,516","1,481","31,95M","0,81%"
"25.11.2018","1,486","1,502","1,542","1,472","40,77M","-0,54%"
"18.11.2018","1,494","1,514","1,540","1,471","38,57M","-1,13%"
"11.11.2018","1,511","1,472","1,525","1,435","50,14M","3,07%"
"04.11.2018","1,466","1,428","1,478","1,401","47,93M","2,88%"
"28.10.2018","1,425","1,410","1,458","1,407","45,14M","1,50%"
"21.10.2018","1,404","1,474","1,492","1,366","45,06M","-3,64%"
"14.10.2018","1,457","1,427","1,497","1,423","30,64M","2,25%"
"07.10.2018","1,425","1,500","1,526","1,425","38,77M","-5,69%"
"30.09.2018","1,511","1,492","1,548","1,464","35,50M","1,07%"
"23.09.2018","1,495","1,544","1,554","1,476","32,42M","-3,17%"
