"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"01.03.2020","20.799,89","22.333,17","22.361,13","20.624,42","4,09B","-5,39%"
"23.02.2020","21.984,21","23.918,60","24.005,21","21.697,94","4,21B","-11,26%"
"16.02.2020","24.773,15","24.961,76","25.483,05","24.670,24","2,60B","-0,38%"
"09.02.2020","24.867,01","24.437,06","24.983,12","24.388,88","2,03B","1,59%"
"02.02.2020","24.478,32","23.297,09","24.523,42","23.218,72","2,35B","5,34%"
"26.01.2020","23.237,03","23.713,12","24.197,66","23.207,90","2,30B","-3,05%"
"19.01.2020","23.969,13","24.032,65","24.084,94","23.611,20","1,72B","-0,71%"
"12.01.2020","24.141,07","24.061,45","24.168,66","23.706,43","1,71B","0,50%"
"05.01.2020","24.021,40","23.565,92","24.146,55","23.265,21","1,88B","1,35%"
"29.12.2019","23.702,35","23.712,11","23.861,99","23.506,37","802,67M","-0,23%"
"22.12.2019","23.757,60","23.918,55","23.941,26","23.732,27","503,96M","-1,03%"
"15.12.2019","24.003,64","23.436,29","24.003,64","23.388,12","2,10B","2,89%"
"08.12.2019","23.329,33","23.214,72","23.727,56","22.789,78","1,78B","0,63%"
"01.12.2019","23.182,72","23.297,68","23.402,95","22.581,12","1,74B","-0,33%"
"24.11.2019","23.259,33","23.398,04","23.651,44","23.206,91","1,61B","-0,00%"
"17.11.2019","23.259,80","23.572,18","23.660,49","23.104,98","2,02B","-1,39%"
"10.11.2019","23.588,59","23.453,88","23.827,58","23.396,47","1,92B","0,23%"
"03.11.2019","23.534,49","23.040,85","23.584,84","23.027,49","2,46B","2,62%"
"27.10.2019","22.934,32","22.597,11","22.946,01","22.453,97","1,76B","1,44%"
"20.10.2019","22.608,99","22.346,77","22.608,99","22.284,10","1,74B","1,29%"
"13.10.2019","22.321,77","22.107,54","22.663,27","21.992,34","2,04B","0,71%"
"06.10.2019","22.165,34","21.441,55","22.165,34","21.337,39","1,84B","3,24%"
"29.09.2019","21.470,44","22.007,98","22.293,77","21.127,43","2,12B","-2,48%"
"22.09.2019","22.017,40","22.088,27","22.110,82","21.491,97","1,73B","-0,48%"
"15.09.2019","22.123,25","22.125,42","22.282,94","21.774,30","2,21B","-0,26%"
"08.09.2019","22.181,41","22.007,98","22.229,83","21.795,96","2,41B","1,07%"
